receiver_id,receiver_age,receiver_sex,receiver_camp,giver_id,giver_age,giver_sex,giver_camp,kinship,married_id
1,3,M,A,2,3,M,A,0.5,41
1,3,M,A,3,3,F,A,0.5,41
1,3,M,A,5,3,M,B,0,41
1,3,M,A,12,3,M,N,0,41
1,3,M,A,22,2,F,A,0.5,41
1,3,M,A,23,4,F,A,0.5,41
1,3,M,A,24,2,M,A,0.5,41
1,3,M,A,26,3,M,K,0,41
1,3,M,A,29,2,M,Q,0,41
1,3,M,A,30,3,F,J,0.1,41
1,3,M,A,39,2,M,T,0,41
2,4,M,A,1,2,M,A,0.5,3
2,4,M,A,4,1,M,A,0.5,3
2,4,M,A,12,3,M,N,0.1,3
2,4,M,A,13,3,F,N,0.1,3
2,4,M,A,16,2,M,Q,0.25,3
2,4,M,A,18,3,F,H,0.125,3
2,4,M,A,19,2,F,N,0.25,3
2,4,M,A,20,2,F,A,0.5,3
2,4,M,A,22,2,F,A,0.5,3
2,4,M,A,24,2,M,A,0.5,3
2,4,M,A,25,1,M,A,0.5,3
2,4,M,A,28,2,M,L,0.1,3
2,4,M,A,29,2,M,L,0.1,3
2,4,M,A,30,3,F,J,0.125,3
2,4,M,A,32,2,F,P,0,3
2,4,M,A,34,2,F,Q,0.25,3
2,4,M,A,36,3,M,M,0,3
2,4,M,A,37,2,F,T,0.125,3
3,4,F,A,1,2,M,A,0.5,0
3,4,F,A,11,3,F,D,0,0
3,4,F,A,13,3,F,N,0.1,0
3,4,F,A,14,2,F,P,0,0
3,4,F,A,20,2,F,A,0.5,0
3,4,F,A,28,2,M,L,0.1,0
3,4,F,A,32,3,F,P,0,0
3,4,F,A,33,2,M,Q,0.1,0
3,4,F,A,34,2,F,Q,0.25,0
3,4,F,A,35,3,F,Q,0.125,0
3,4,F,A,38,2,F,S,0,0
4,2,M,A,1,2,M,A,0.25,0
4,2,M,A,2,3,M,A,0.5,0
4,2,M,A,3,3,F,A,0.5,0
4,2,M,A,10,2,F,G,0,0
4,2,M,A,15,2,F,E,0.1,0
4,2,M,A,20,2,F,A,0.5,0
4,2,M,A,24,2,M,A,0.25,0
4,2,M,A,40,3,M,Q,0,0
5,5,M,B,17,2,M,B,0.5,42
5,5,M,B,31,3,F,B,0.5,42
6,1,F,C,7,2,M,C,0.5,0
6,1,F,C,8,2,F,C,0.5,0
6,1,F,C,6,3,F,C,0.25,0
6,1,F,C,9,3,F,F,0.25,0
